"Enabled","Habilitado"
"Title","Título"
"New Order Status","Status para novos pedidos"
"Payment from Applicable Countries","Método disponível apenas para estes países"
"Sort Order","Ordenação"
"Instructions","Instruções"
"Admin Only Payment Method","Método de Pagamento apenas para Pedidos via Admin"
